Catalogo: ACTIVIDAD_ECONOMICA
Clave Institución	Clave Registro	Descripción		
62411	62411	Servicios de orientacion y trabajo social para la niñez y la juventud
62412	62412	Centros de atencion y cuidado diurno de ancianos y personas con discapacidad
62419	62419	Otros servicios de orientacion y trabajo social
62421	62421	Servicios de alimentacion comunitarios
62422	62422	Refugios temporales comunitarios
62423	62423	Servicios de emergencia comunitarios
62431	62431	Servicios de capacitacion para el trabajo para personas desempleadas, subempleadas o con discapacidad
62441	62441	Guarderias
71111	71111	Compañias de teatro
71112	71112	Compañias de danza
71113	71113	Cantantes y grupos musicales
71119	71119	Otras compañias y grupos de espectaculos artisticos
71121	71121	Deportistas y equipos deportivos profesionales
71131	71131	Promotores de espectaculos artisticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos
71132	71132	Promotores de espectaculos artisticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos
71141	71141	Agentes y representantes de artistas, deportistas y similares
71151	71151	Artistas, escritores y tecnicos independientes
71211	71211	Museos
71212	71212	Sitios historicos
71213	71213	Jardines botanicos y zoologicos
71219	71219	Grutas, parques naturales y otros sitios del patrimonio cultural de la nacion
71311	71311	Parques con instalaciones recreativas
71312	71312	Casas de juegos electronicos
71321	71321	Casinos
71329	71329	Loterias y otros juegos de azar
71391	71391	Campos de golf
71392	71392	Pistas para esquiar
71393	71393	Marinas turisticas
71394	71394	Clubes deportivos y centros de acondicionamiento fisico
71395	71395	Boliches
71399	71399	Otros servicios recreativos
72111	72111	Hoteles y moteles, excepto hoteles con casino
72112	72112	Hoteles con casino
72119	72119	Cabañas, villas y similares
72121	72121	Campamentos y albergues recreativos
72131	72131	Pensiones y casas de huespedes, y departamentos y casas amueblados con servicios de hoteleria
72231	72231	Servicios de comedor para empresas e instituciones
72232	72232	Servicios de preparacion de alimentos para ocasiones especiales
72233	72233	Servicios de preparacion de alimentos en unidades moviles
72241	72241	Centros nocturnos, bares, cantinas y similares
72251	72251	Servicios de preparacion de alimentos y bebidas alcoholicas y no alcoholicas
81111	81111	Reparacion mecanica y electrica de automoviles y camiones
81112	81112	Hojalateria, tapiceria y otras reparaciones a la carroceria de automoviles y camiones
81119	81119	Otros servicios de reparacion y mantenimiento de automoviles y camiones
81121	81121	Reparacion y mantenimiento de equipo electronico y de equipo de precision
81131	81131	Reparacion y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios
81141	81141	Reparacion y mantenimiento de aparatos electricos para el hogar y personales
81142	81142	Reparacion de tapiceria de muebles para el hogar
81143	81143	Reparacion de calzado y otros articulos de piel y cuero
81149	81149	Reparacion y mantenimiento de otros articulos para el hogar y personales
81211	81211	Salones y clinicas de belleza y peluquerias
81212	81212	Baños publicos
81213	81213	Sanitarios publicos y bolerias
81221	81221	Lavanderias y tintorerias
81231	81231	Servicios funerarios
81232	81232	Administracion de cementerios
81241	81241	Estacionamientos y pensiones para vehiculos automotores
81291	81291	Servicios de revelado e impresion de fotografias
81299	81299	Otros servicios personales
81311	81311	Asociaciones, organizaciones y camaras de productores, comerciantes y prestadores de servicios
81312	81312	Asociaciones y organizaciones laborales y sindicales
81313	81313	Asociaciones y organizaciones de profesionistas
81314	81314	Asociaciones regulatorias de actividades recreativas
81321	81321	Asociaciones y organizaciones religiosas
81322	81322	Asociaciones y organizaciones politicas
81323	81323	Asociaciones y organizaciones civiles
81411	81411	Hogares con empleados domesticos
93111	93111	organos legislativos
93121	93121	Administracion publica en general
93131	93131	Regulacion y fomento del desarrollo economico
93141	93141	Imparticion de justicia y mantenimiento de la seguridad y el orden publico
93151	93151	Regulacion y fomento de actividades para mejorar y preservar el medio ambiente
93161	93161	Actividades administrativas de instituciones de bienestar social
93171	93171	Relaciones exteriores
93181	93181	Actividades de seguridad nacional
93211	93211	Organismos internacionales
93212	93212	Sedes diplomaticas y otras unidades extraterritoriales
