Catalogo: Catalogo_Cuenta_R04A
Clave Institución	Clave Registro	Descripción		
101801023220	101801023220	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EYM/FACTORAJE/
101801023230	101801023230	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EYM/ARREND FINANC/
101801023240	101801023240	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EYM/FIDEICOMISOS/
101801023250	101801023250	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EYM/OTROS/
101801023310	101801023310	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EMP PROD ESTADO/PROYECTOS/
101801023320	101801023320	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EMP PROD ESTADO/FACTORAJE/
101801023330	101801023330	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EMP PROD ESTADO/ARREND FINANC/
101801023340	101801023340	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/EMP PROD ESTADO/OTROS/
101801023410	101801023410	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/ORG DESC/PROYECTOS/
101801023420	101801023420	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/ORG DESC/FACTORAJE/
101801023430	101801023430	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/ORG DESC/ARREND FINANC/
101801023440	101801023440	COMERCIAL/RESTRINGIDOS/GUBERNAMENTAL/ORG DESC/OTROS/
101802010100	101802010100	CONSUMO/SIN RESTRICCION/TARJETA/
101802010200	101802010200	CONSUMO/SIN RESTRICCION/PERSONAL/
101802010300	101802010300	CONSUMO/SIN RESTRICCION/NOMINA/
101802010400	101802010400	CONSUMO/SIN RESTRICCION/AUTO/
101802010500	101802010500	CONSUMO/SIN RESTRICCION/ABCD/
101802010600	101802010600	CONSUMO/SIN RESTRICCION/ARREND/
101802010700	101802010700	CONSUMO/SIN RESTRICCION/MICRO/
101802010800	101802010800	CONSUMO/SIN RESTRICCION/OTROS/
101802020100	101802020100	CONSUMO/RESTRINGIDOS/TARJETA/
101802020200	101802020200	CONSUMO/RESTRINGIDOS/PERSONAL/
101802020300	101802020300	CONSUMO/RESTRINGIDOS/NOMINA/
101802020400	101802020400	CONSUMO/RESTRINGIDOS/AUTO/
101802020500	101802020500	CONSUMO/RESTRINGIDOS/ABCD/
